NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Grant County, West Virginia",11815.0,45.6,45.5,45.7,11505.0,163.0,0.0,0.0,74.0,39088.0,20052.0,1791.0,5334.0,5334.0,4974.0,360.0,124900.0,569.0,4175.0,2269.0,603.0,346.0,70.0,40.0,4826.0,13.0,11705.0,5854.0,281.0,4175.0,2770.0,1405.0,54,023,2015-12-31
"Hampshire County, West Virginia",23542.0,44.6,44.0,45.1,22873.0,335.0,20.0,8.0,288.0,27995.0,18477.0,4721.0,9664.0,9661.0,8878.0,783.0,121400.0,531.0,10194.0,3567.0,1169.0,476.0,33.0,37.0,8741.0,32.0,23011.0,11769.0,700.0,10194.0,4588.0,5606.0,54,027,2015-12-31
"Brooke County, West Virginia",23665.0,45.9,44.1,48.0,22912.0,413.0,35.0,122.0,191.0,46215.0,23819.0,2960.0,11087.0,11074.0,10360.0,714.0,86500.0,573.0,10030.0,888.0,1858.0,977.0,204.0,89.0,10186.0,57.0,23473.0,11466.0,665.0,10030.0,6345.0,3685.0,54,009,2015-12-31
"Doddridge County, West Virginia",8201.0,43.7,41.8,45.5,7928.0,89.0,10.0,7.0,35.0,39974.0,19992.0,1190.0,3029.0,3029.0,2831.0,198.0,92000.0,532.0,2674.0,1246.0,521.0,209.0,47.0,19.0,2812.0,0.0,7616.0,3905.0,171.0,2674.0,1760.0,914.0,54,017,2015-12-31
"Hardy County, West Virginia",13936.0,44.5,44.2,45.0,13196.0,607.0,10.0,65.0,516.0,40303.0,22195.0,1863.0,6653.0,6653.0,6129.0,524.0,118800.0,600.0,5156.0,2966.0,945.0,331.0,72.0,72.0,6066.0,24.0,13878.0,7006.0,410.0,5156.0,3494.0,1662.0,54,031,2015-12-31
"Marion County, West Virginia",56790.0,41.1,39.7,42.7,53357.0,2057.0,70.0,293.0,667.0,43165.0,23807.0,8980.0,26756.0,26741.0,25422.0,1319.0,99800.0,681.0,22481.0,3886.0,5637.0,2121.0,338.0,261.0,25025.0,198.0,56423.0,27644.0,1974.0,22481.0,14742.0,7739.0,54,049,2015-12-31
"Mingo County, West Virginia",25931.0,41.7,40.4,42.7,24917.0,367.0,28.0,106.0,103.0,33221.0,20417.0,6654.0,9256.0,9256.0,7951.0,1305.0,73200.0,584.0,10844.0,1803.0,980.0,659.0,158.0,71.0,7196.0,0.0,25847.0,12671.0,938.0,10844.0,7572.0,3272.0,54,059,2015-12-31
"Hancock County, West Virginia",30201.0,45.6,44.1,47.9,28907.0,676.0,23.0,75.0,360.0,39959.0,23845.0,4835.0,14270.0,14270.0,13236.0,1034.0,86400.0,629.0,12894.0,1560.0,2792.0,970.0,154.0,37.0,12974.0,184.0,29973.0,14560.0,814.0,12894.0,8289.0,4605.0,54,029,2015-12-31
"Marshall County, West Virginia",32480.0,44.3,42.9,46.5,31722.0,279.0,123.0,132.0,317.0,45182.0,23543.0,4128.0,14545.0,14542.0,13530.0,1012.0,94600.0,578.0,13569.0,2286.0,2673.0,956.0,178.0,126.0,13224.0,88.0,32081.0,15709.0,989.0,13569.0,9355.0,4214.0,54,051,2015-12-31
"Nicholas County, West Virginia",25930.0,43.4,42.3,44.7,25756.0,9.0,1.0,54.0,7.0,39171.0,23404.0,4636.0,10723.0,10723.0,9824.0,899.0,83100.0,548.0,10787.0,2244.0,1532.0,731.0,210.0,108.0,9606.0,37.0,25786.0,12733.0,949.0,10787.0,7576.0,3211.0,54,067,2015-12-31
