NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Maryland,5834299.0,38.0,36.4,39.4,3406243.0,1717582.0,17535.0,332620.0,493310.0,73538.0,36354.0,558329.0,3214633.0,3186765.0,2926198.0,260567.0,292700.0,1196.0,2146240.0,241045.0,789022.0,445990.0,114423.0,94483.0,2891357.0,256052.0,5737052.0,2756347.0,226027.0,2146240.0,1438269.0,707971.0,24,2013-12-31
Massachusetts,6605058.0,39.2,37.8,40.5,5318548.0,454887.0,12956.0,368178.0,655863.0,66866.0,35763.0,725351.0,3636347.0,3631277.0,3308547.0,322730.0,330100.0,1069.0,2530147.0,278402.0,1006270.0,538224.0,124858.0,106970.0,3239623.0,302359.0,6524851.0,3151242.0,225349.0,2530147.0,1607082.0,923065.0,25,2013-12-31
Michigan,9886095.0,39.1,37.8,40.4,7841011.0,1385154.0,54881.0,251175.0,447594.0,48411.0,25681.0,1625982.0,4864014.0,4859417.0,4242948.0,616469.0,121700.0,768.0,3823280.0,706031.0,1049930.0,486283.0,106937.0,67068.0,4147131.0,56340.0,9773019.0,4773417.0,362645.0,3823280.0,2510943.0,1312337.0,26,2013-12-31
Minnesota,5347740.0,37.6,36.4,38.6,4575991.0,279944.0,57479.0,222761.0,257144.0,59836.0,30913.0,598391.0,2961476.0,2958989.0,2748174.0,210815.0,187900.0,819.0,2107232.0,246700.0,781186.0,263953.0,73760.0,42511.0,2700121.0,92680.0,5288893.0,2621453.0,215210.0,2107232.0,1370412.0,736820.0,27,2013-12-31
Mississippi,2976872.0,36.2,34.7,37.6,1769766.0,1106982.0,13030.0,27646.0,81433.0,39031.0,20618.0,653321.0,1355687.0,1343584.0,1194436.0,149148.0,99900.0,702.0,1088073.0,189449.0,246100.0,98828.0,24512.0,16545.0,1179917.0,5323.0,2908862.0,1393749.0,126232.0,1088073.0,749283.0,338790.0,28,2013-12-31
Missouri,6007182.0,38.0,36.6,39.3,4984653.0,691128.0,22781.0,98962.0,219705.0,47380.0,25649.0,900929.0,3059214.0,3038261.0,2770617.0,267644.0,137000.0,727.0,2360131.0,353698.0,655633.0,282661.0,66028.0,42737.0,2738553.0,40285.0,5892726.0,2867168.0,236114.0,2360131.0,1540854.0,819277.0,29,2013-12-31
Montana,998554.0,39.9,38.7,41.1,893032.0,4038.0,64426.0,6246.0,30490.0,46230.0,25373.0,148528.0,518296.0,514717.0,477015.0,37702.0,184200.0,682.0,405525.0,77778.0,133788.0,40631.0,12099.0,7908.0,469319.0,3840.0,982993.0,491561.0,38659.0,405525.0,255911.0,149614.0,30,2013-12-31
Nebraska,1841625.0,36.3,35.0,37.5,1624312.0,84228.0,16408.0,34144.0,173903.0,51672.0,26899.0,228789.0,1011281.0,1006226.0,948701.0,57525.0,128000.0,706.0,725787.0,74490.0,230833.0,76357.0,20266.0,13843.0,937094.0,6622.0,1812953.0,896209.0,80227.0,725787.0,471790.0,253997.0,31,2013-12-31
Nevada,2730066.0,36.6,36.0,37.3,1948808.0,224424.0,29446.0,202157.0,734097.0,52800.0,26589.0,403314.0,1414220.0,1404746.0,1229604.0,175142.0,169100.0,986.0,999016.0,178735.0,268804.0,94708.0,28645.0,13976.0,1215590.0,41070.0,2694751.0,1348581.0,113413.0,999016.0,647390.0,351626.0,32,2013-12-31
New Hampshire,1319171.0,41.5,40.7,42.4,1240404.0,16011.0,2588.0,29337.0,38817.0,64916.0,33134.0,110859.0,743855.0,742439.0,690769.0,51670.0,239900.0,987.0,518245.0,96959.0,194439.0,84598.0,15880.0,12654.0,674692.0,5594.0,1304372.0,642853.0,42131.0,518245.0,346150.0,172095.0,33,2013-12-31
New Jersey,8832406.0,39.1,37.5,40.5,6108784.0,1197753.0,20482.0,756668.0,1603510.0,71629.0,36027.0,900583.0,4677666.0,4669577.0,4197483.0,472094.0,327100.0,1172.0,3186418.0,376712.0,1336219.0,585221.0,144506.0,85702.0,4107798.0,445282.0,8723211.0,4232319.0,332155.0,3186418.0,2206583.0,979835.0,34,2013-12-31
New Mexico,2069706.0,36.7,35.3,38.1,1511087.0,42196.0,189953.0,28034.0,966268.0,44927.0,23763.0,413801.0,979565.0,970934.0,876823.0,94111.0,160000.0,758.0,761938.0,140364.0,198521.0,103824.0,21783.0,23542.0,868937.0,9579.0,2035611.0,997967.0,86901.0,761938.0,498457.0,263481.0,35,2013-12-31
New York,19487053.0,38.1,36.4,39.6,12779326.0,3042152.0,72740.0,1479326.0,3488083.0,58003.0,32382.0,2903982.0,10009187.0,9984364.0,9062757.0,921607.0,288200.0,1088.0,7234743.0,878527.0,2491222.0,1357039.0,357336.0,180903.0,8870713.0,2398671.0,19231242.0,9276726.0,712624.0,7234743.0,4637549.0,2597194.0,36,2013-12-31
North Carolina,9651380.0,37.6,36.2,39.0,6727690.0,2068726.0,111733.0,221392.0,824868.0,46334.0,25284.0,1643389.0,4850140.0,4762407.0,4234977.0,527430.0,153600.0,776.0,3715565.0,633458.0,1154451.0,420219.0,96472.0,76267.0,4227986.0,45765.0,9450222.0,4547790.0,384285.0,3715565.0,2472888.0,1242677.0,37,2013-12-31
North Dakota,689781.0,36.4,35.0,38.0,618098.0,9273.0,36659.0,7362.0,16054.0,53741.0,29732.0,79433.0,389669.0,384229.0,371612.0,12617.0,132400.0,645.0,287270.0,37442.0,88476.0,23474.0,6122.0,4470.0,369676.0,1735.0,674657.0,340506.0,27812.0,287270.0,175638.0,111632.0,38,2013-12-31
Ohio,11549590.0,39.0,37.5,40.3,9569431.0,1402897.0,20709.0,201394.0,367394.0,48308.0,26046.0,1773853.0,5859516.0,5849339.0,5266386.0,582953.0,130800.0,718.0,4557655.0,566566.0,1227819.0,521105.0,122484.0,77052.0,5164077.0,85286.0,11374029.0,5532977.0,438648.0,4557655.0,2949414.0,1608241.0,39,2013-12-31
